Mixture,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Correlation,RMSE
GSM2997811,0.01931135885254,0,0,0.24825678229178,0.0236944197512564,0,0.0193641658874666,0,0.00748535065308809,0,0.11212993850905,0,0.114121746044227,0,0,0.00851111245209571,0,0,0,0,0,0.447125125558497,0,0.786465603401055,0.629987187089719
GSM2997813,0.0216677476407725,0.00358554758066643,0,0.200967332369437,0.070103637311558,0,0.0133292193713854,0,0.021301616262626,0,0.142080901938503,0,0.0972853641115683,0,0,0.00986862016636713,0,0,0.00453441222921803,0,0,0.415275601017898,0,0.71424103527777,0.704452888649828
GSM2997814,0.0217485476001704,0,0,0.284837819368275,0.0464740522380678,0,0.0215605375219328,0.00195844755018482,0.0426126438597956,0,0.132245116293048,0,0.0961026097244543,0.0170013878684793,0.000476016747314075,0,0.00208832296200802,0,0,0.00470191354362462,0,0.328192584722646,0,0.731973971112505,0.695984242538437
GSM2997815,0.0263621700118225,0,0,0.374384231672241,0.0311999911394733,0,0.00752651706826397,0,0.0533654457695772,0,0.135109463893151,0,0.128383320010328,0,0,0.00501022077153444,0,0,0.0152664946767209,0,0,0.223392144986887,0,0.716028494351628,0.714278825945042
GSM2997817,0.0310290915774766,0,0,0.222361160395333,0.0803568225851003,0,0.0443371303518911,0,0.0105217981461232,0,0.109785339194726,0,0.168503299912456,0.0145958136625386,0,0.00838179886918675,0,0,0.0138072364721288,0,0,0.29632050883304,0,0.750745023551702,0.687933728297126
GSM2997818,0.0488048180639218,0,0,0.405656371379749,0,0,0.00997068743064454,0.000759356164994089,0.038105098607472,0,0.175250536591278,0,0.11773428941565,0,0,0.0119857085020512,0,0,0.00475696636676307,0,0,0.186976167477477,0,0.72515484693182,0.705892113439817
GSM2997819,0.0138395056923517,0,0,0.35936492079839,0,0,0.0156967507437864,0,0.0196690945467179,0,0.118428701374564,0,0.0797389768143589,0,0,0.0201407256185534,0,0,0,0,0.0184683679830043,0.354652956428273,0,0.763093602066829,0.663969234000595
GSM2997820,0.0338486181254346,0,0,0.372545302670823,0,0,0.00136528564620405,0,0.0310011981037007,0,0.150237004449535,0,0.113904562132427,0,0,0.0115717147804024,0,0,0.00349550306218179,0,0.00665152762834287,0.275379283400949,0,0.710557655586329,0.714968571285916
GSM2997823,0.0343686334243285,0,0,0.313821179735506,0.024080589695392,0,0.0305187151098123,0,0.010611446257393,0,0.135928089954702,0,0.119552312637259,0,0,0.00257992908210568,0,0,0,0,0,0.328539104103502,0,0.751263084002663,0.678020613285057
GSM2997824,0.0679716163788838,0,0,0.303471408653797,0.0407581676604983,0,0.00387639901225765,0,0.0255268211265648,0,0.137435925130825,0,0.101247536179487,0,0,0.00243824555607655,0,0,0.0113656826585718,0,0,0.305908197643038,0,0.750161295179308,0.683562958219797
GSM2997826,0.135401561040478,0,0,0.298118815974085,0,0,0.00893518780676904,0,0.0245869908205858,0,0.121924708411848,0,0.132701635555037,0,0,0,0,0,0,0,0,0.278331100391198,0,0.720393211579408,0.712179270339778
GSM2997827,0.0564656145878557,0,0,0.337434010914982,0.00974543323817676,0,0.00980628544882701,0,0.0285639602633097,0,0.148369135039187,0,0.131918525163894,0,0,0,0,0,0,0.00107570653554294,0,0.276621328808225,0,0.750097936631935,0.683601408010439
GSM2997831,0.02661965870689,0.0107887502708675,0,0.361051415472948,0.00689937209489784,0,0.014876467842219,1.05864910411598e-05,0.0193122667094987,0,0.128208272952692,0,0.148586293773821,0.00701741712728904,0,0.00616255102919956,0,0,0,0,0,0.270466947528636,0,0.715516491826944,0.712566940340318
GSM2997834,0.0411043721324123,0,0,0.345235355828727,0.0130560390584178,0,0.0251557527963317,0,0.0280724646591906,0,0.132460292776862,0,0.082635961714248,0,0,0.00107466986970304,0,0,0.0112326103591061,0,0,0.319972480805001,0,0.766669936881043,0.665770429923059
GSM2997835,0.0415792019808196,0,0,0.365746275670679,0,0,0.0416874776116317,0.00869435031924603,0.00166352417014399,0,0.129770064436558,0,0.112475475895459,0,0,0.00851797016321484,0,0.000726891510457048,0.00452216826036164,0,0,0.284616599981429,0,0.754116192780383,0.680619433548993
GSM2997839,0.0490043441294128,0,0,0.287167780200162,0,0,0.0242857446918522,0,0.00697019540210963,0,0.139782074981144,0,0.111928311507786,0,0,0.00266526116111181,0,8.83495631266771e-05,0.0112822546991195,0,0,0.366825683664176,0,0.76282016315806,0.664673070883655
GSM2997840,0.0483496433543787,0,0,0.303158849600767,0.000203413054114635,0,0.0276159372655866,0,0.0164282920794756,0,0.15516164047359,0,0.094617364558649,0,0,0.00810497301592579,0,0,0.00954651433392366,0,0,0.336813372263589,0,0.75047528356703,0.679040691998645
GSM2997841,0.0643883420924395,0,0,0.15329242792394,0.0826513086156088,0,0.0241989622496276,0,0.031540151318517,0,0.123138370208541,0,0.153321134024019,0,0,0.00913761908523431,0,0,0,0,0,0.358331684482073,0,0.768316604064361,0.663508699841967
GSM2997842,0.0638498649475966,0,0,0.274063731393897,0.0425590563989696,0,0.0207238570216069,0,0.0260210744897217,0,0.0976717427421921,0,0.0900333866695467,0,0,0.00696389585340332,0,0,0,0,0,0.378113390483066,0,0.759980397009273,0.667843917433584
GSM2997843,0.0324785677316532,0,0,0.244415382378421,0.0918906649974672,0,0.0426222824261592,0,0.0142939753973251,0,0.141659423317344,0,0.116699298892853,0.00223621292137961,0,0.00776260463263081,0,0,0.0153163236389231,0,0,0.290625263665843,0,0.713745992639236,0.716654347253518
GSM2997844,0.00574211836165907,0.00594603164921861,0,0.286771166145376,0,0,0.0248120156673683,0,0.0023051740068726,0,0.162591754619306,0,0.123661926311221,0,0,0.0034776427637872,0,0,0.000235503876907417,0,0,0.384456666598283,0,0.763151718681729,0.658701931078354
GSM2997845,0.0344113582362396,0,0,0.296535483729595,0.0285474159161826,0,0.00694084747221291,0.000217741743316824,0.028920314937651,0,0.146073015265906,0,0.104476468769381,0.0016318883396304,0,0.00526910352780255,0,0,0.0145031003737652,0,0,0.332473261688317,0,0.754870253093052,0.675263068559384
GSM2997846,0.0263005979041254,0.00697098345534904,0,0.357274862281121,0.016034667837842,0,0.0458527620745188,0,0.00659701452270392,0,0.0497410514405329,0,0.10446608023,0,0,0.0106832839363693,0,0.00572355001655,0.0303784589808712,0,0.0141633173538981,0.325813369966118,0,0.761543800899462,0.67544320754028
GSM2997847,0.115159622599955,0,0.00101434277818586,0.299088087961859,0,0,0.0182135067922903,0,0.0269096929082747,0,0.0765203412149805,0,0.134536480148398,0,0,0.00286771317465316,0,0,0.00751617108981139,0,0,0.318174041331592,0,0.72788008255543,0.703792914901895
GSM2997848,0.0202111724740763,0,0,0.236244107182814,0.0615783178431302,0,0.0194740693989322,0,0.0361071054569969,0,0.126892120240607,0,0.100244148636078,0,0,0.00619790181454894,0,0,0.0225224807219671,0,0,0.37052857623085,0,0.761597735431468,0.666865158318914
GSM2997849,0.0969473832192764,0,0,0.337152429105135,0,0,0.0186791081850601,0,0.0182377644960467,0,0.0923272882402894,0,0.136398094165399,0,0,0.0101403031367942,0,0,0.00365385512059168,0,0,0.286463774331408,0,0.751786472658225,0.686526973531264
GSM2997852,0.0125805318591422,0,0,0.16014823254145,0.0248285779613197,0.0175042876582321,0.0434323495981333,0,0,0,0.092247365060526,0,0.0754072945450917,0,0,0.0131083440772718,0,0,0.0287520833783078,0,0.00315854645631392,0.528832386864211,0,0.784383033565089,0.625538070003008
GSM2997853,0.0773307046083665,0,0,0.320274508221717,0,0,0.024985853168777,0,0.00854039796829335,0,0.1639842718284,0,0.0636085258942583,0,0,0.00741773183704537,0,0,0,0,0.00413910585210281,0.32971890062104,0,0.736429257889694,0.69156188910543
GSM2997855,0.0224813892649955,0,0,0.189437284610187,0,0,0.0165714911051581,0,0,0.00234462607935603,0.151025639075953,0,0.0592058906895376,0.00543577219383267,0,0.0112877753314593,0,0,0.0121905940266338,0,0.0295145296823869,0.5005050079405,0,0.759055539038791,0.655141669129244
GSM2997860,0.0765729978894289,0,0,0.24858333271503,0.0413410160947221,0,0.0191166355703032,0.00628441044951748,0.0293397928891427,0,0.0957664402725044,0,0.160887860223228,0,0,0.0104717862052902,0,0,0.00132576178139079,0,0,0.310309965909442,0,0.736046438768346,0.697461996374141
GSM2997862,0.0224414175202975,0,0,0.350013049237723,0.042144147318889,0,0.0225462916993673,0,0.0239043167547874,0,0.186198131668587,0,0.138228337441204,0,0,0.00840471615886326,0,0,0.0210687716990769,0,0.000510662086782993,0.184540158414422,0,0.7584147566523,0.681823291475085
GSM2997863,0.0629101557034825,0,0,0.279546089930512,0.0569840961785284,0,0,0,0.0527256200233051,0,0.126707042111628,0,0.107645310633961,0,0,0.0100487449920122,0,0,0.00566966841760055,0,0,0.297763272008971,0,0.720112379912464,0.709933108270013
